line,over,sport_baseball,sport_basketball,sport_basketball_first_half,sport_esports,sport_football,sport_football_player_prop,sport_hockey,sport_other,sport_soccer
46.5,0,False,False,False,False,True,False,False,False,False
42.5,1,False,False,False,False,True,False,False,False,False
44.5,0,False,False,False,False,True,False,False,False,False
47.5,0,False,False,False,False,True,False,False,False,False
50.5,0,False,False,False,False,True,False,False,False,False
52.5,0,False,False,False,False,True,False,False,False,False
41.5,1,False,False,False,False,True,False,False,False,False
1.5,0,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,True,False,False,False,False,False
8.5,1,True,False,False,False,False,False,False,False,False
55.5,0,False,False,False,False,True,False,False,False,False
56.5,0,False,False,False,False,True,False,False,False,False
23.5,0,False,False,False,False,True,False,False,False,False
46.5,0,False,False,False,False,True,False,False,False,False
40.5,0,False,False,False,False,True,False,False,False,False
44.5,0,False,False,False,False,True,False,False,False,False
41.5,0,False,False,False,False,True,False,False,False,False
23.5,0,False,False,False,False,True,False,False,False,False
17.5,0,False,False,False,False,True,False,False,False,False
20.5,1,False,False,False,False,True,False,False,False,False
39.5,0,False,False,False,False,True,False,False,False,False
18.5,1,False,False,False,False,True,False,False,False,False
16.5,1,False,False,False,False,True,False,False,False,False
21.5,0,False,False,False,False,True,False,False,False,False
37.5,1,False,False,False,False,True,False,False,False,False
36.5,1,False,False,False,False,True,False,False,False,False
35.5,1,False,False,False,False,True,False,False,False,False
34.5,1,False,False,False,False,True,False,False,False,False
38.5,0,False,False,False,False,True,False,False,False,False
21.5,0,False,False,False,False,True,False,False,False,False
33.5,1,False,False,False,False,True,False,False,False,False
31.5,1,False,False,False,False,True,False,False,False,False
32.5,1,False,False,False,False,True,False,False,False,False
30.5,1,False,False,False,False,True,False,False,False,False
220.5,0,False,False,False,False,False,True,False,False,False
78.5,1,False,False,False,False,False,True,False,False,False
38.5,1,False,False,False,False,False,True,False,False,False
23.5,0,False,False,False,False,False,True,False,False,False
70.5,0,False,False,False,False,False,True,False,False,False
18.5,1,False,False,False,False,False,True,False,False,False
11.5,1,False,False,False,False,False,True,False,False,False
21.5,0,False,False,False,False,False,True,False,False,False
23.5,1,False,False,False,False,False,True,False,False,False
24.5,1,False,False,False,False,False,True,False,False,False
34.5,0,False,False,False,False,False,True,False,False,False
13.5,1,False,False,False,False,True,False,False,False,False
10.5,1,False,False,False,False,True,False,False,False,False
20.5,0,False,False,False,False,True,False,False,False,False
17.5,1,False,False,False,False,True,False,False,False,False
12.5,1,False,False,False,False,True,False,False,False,False
18.5,0,False,False,False,False,True,False,False,False,False
42.5,0,False,False,False,False,True,False,False,False,False
13.5,1,False,False,False,False,True,False,False,False,False
43.5,0,False,False,False,False,True,False,False,False,False
45.5,0,False,False,False,False,True,False,False,False,False
42.5,0,False,False,False,False,True,False,False,False,False
40.5,0,False,False,False,False,True,False,False,False,False
44.5,0,False,False,False,False,True,False,False,False,False
24.5,0,False,False,False,False,True,False,False,False,False
20.5,0,False,False,False,False,True,False,False,False,False
38.5,0,False,False,False,False,True,False,False,False,False
37.5,0,False,False,False,False,True,False,False,False,False
36.5,0,False,False,False,False,True,False,False,False,False
32.5,1,False,False,False,False,True,False,False,False,False
23.5,0,False,False,False,False,True,False,False,False,False
41.5,0,False,False,False,False,True,False,False,False,False
39.5,0,False,False,False,False,True,False,False,False,False
35.5,1,False,False,False,False,True,False,False,False,False
19.5,0,False,False,False,False,True,False,False,False,False
85.5,0,False,False,False,False,False,True,False,False,False
7.5,0,False,False,False,False,False,True,False,False,False
50.5,0,False,False,False,False,False,True,False,False,False
41.5,1,False,False,False,False,False,True,False,False,False
48.5,0,False,False,False,False,False,True,False,False,False
17.5,1,False,False,False,False,False,True,False,False,False
63.5,1,False,False,False,False,False,True,False,False,False
14.5,0,False,False,False,False,False,True,False,False,False
15.5,1,False,False,False,False,False,True,False,False,False
43.5,1,False,False,False,False,False,True,False,False,False
52.5,1,False,False,False,False,False,True,False,False,False
30.5,1,False,False,False,False,False,True,False,False,False
36.5,1,False,False,False,False,False,True,False,False,False
45.5,0,False,False,False,False,False,True,False,False,False
14.5,1,False,False,False,False,True,False,False,False,False
10.5,1,False,False,False,False,True,False,False,False,False
22.5,0,False,False,False,False,True,False,False,False,False
30.5,0,False,False,False,False,True,False,False,False,False
30.5,0,False,False,False,False,True,False,False,False,False
21.5,0,False,False,False,False,True,False,False,False,False
13.5,1,False,False,False,False,True,False,False,False,False
23.5,0,False,False,False,False,True,False,False,False,False
53.5,1,False,False,False,False,True,False,False,False,False
26.5,1,False,False,False,False,True,False,False,False,False
52.5,1,False,False,False,False,True,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,0,False,False,False,False,False,False,False,False,True
2.5,0,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,0,False,False,False,False,False,False,False,False,True
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,False,False,False,False,False,True
1.5,1,False,False,False,False,False,False,False,False,True
3.5,0,False,False,False,False,False,False,False,False,True
